Fecha, Edad, Rol, Calle, Zona, Tipo de resultado, Tipo de siniestro, Usa cinturón, Usa casco, Día de la semana, Sexo, Hora, Departamento, Localidad, Tipo de Vehiculo, fixed, X, Y 
15/1/2022,, SIN DATOS, CONDUCTOR, RAMBLA GENERAL JOSE G. ARTIGAS, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, SÁBADO, MASCULINO, 21, MALDONADO, PUNTA DEL ESTE, MOTO, 1, 687650, 6129600 
15/1/2022,, 51, CONDUCTOR, RAMBLA GENERAL JOSE G. ARTIGAS, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, SÁBADO, MASCULINO, 21, MALDONADO, PUNTA DEL ESTE, AUTO, 1, 687650, 6129600 
15/1/2022,, 36, CONDUCTOR, SIN DATOS, RURAL     , HERIDO LEVE, ATROPELLO DE ANIMALES, SIN DATOS, SIN DATOS, SÁBADO, MASCULINO, 21, RIVERA, SIN DATOS, AUTO, 1, 625540, 6516030 
22/2/2022,, 4, PASAJERO, AVENIDA AIGUA, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, MARTES, MASCULINO, 12, MALDONADO, MALDONADO, AUTO, 1, 687085, 6135230 
22/2/2022,, 23, CONDUCTOR, AVENIDA AIGUA, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, MARTES, MASCULINO, 12, MALDONADO, MALDONADO, MOTO, 1, 687085, 6135230 
22/2/2022,, 40, CONDUCTOR, RAMBLA DOCTOR BALTASAR BRUM, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, MARTES, MASCULINO, 12, MONTEVIDEO, MONTEVIDEO, CAMION, 1, 572540, 6140190 
15/1/2022,, 32, CONDUCTOR, AVENIDA BOLIVIA, SUBURBANA , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, SÁBADO, MASCULINO, 23, CANELONES, SIN DATOS, MOTO, 1, 570365, 6156160 
15/1/2022,, 27, CONDUCTOR, EL REMANSO, SUBURBANA , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, SÁBADO, MASCULINO, 23, MALDONADO, PUNTA DEL ESTE, MOTO, 1, 687970, 6129615 
15/1/2022,, 38, CONDUCTOR, EL REMANSO, SUBURBANA , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, SÁBADO, MASCULINO, 23, MALDONADO, PUNTA DEL ESTE, AUTO, 1, 687970, 6129615 
16/1/2022,, 31, PEATÓN, ZORRILLA DE SAN MARTIN, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, DOMINGO, MASCULINO, 1, PAYSANDU, PAYSANDU, SIN DATOS, 1, 398405, 6425145 
16/1/2022,, 33, CONDUCTOR, ZORRILLA DE SAN MARTIN, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, DOMINGO, MASCULINO, 1, PAYSANDU, PAYSANDU, MOTO, 1, 398405, 6425145 
22/2/2022,, 44, PASAJERO, RAMBLA DOCTOR BALTASAR BRUM, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, MARTES, MASCULINO, 12, MONTEVIDEO, MONTEVIDEO, CAMION, 1, 572540, 6140190 
22/2/2022,, 51, CONDUCTOR, RAMBLA DOCTOR BALTASAR BRUM, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, MARTES, MASCULINO, 12, MONTEVIDEO, MONTEVIDEO, CAMION, 1, 572540, 6140190 
22/2/2022,, 26, PASAJERO, SIN DATOS, SUBURBANA , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, MARTES, FEMENINO, 9, SAN JOSE, LIBERTAD, CAMION, 1, 534200, 6166585 
22/2/2022,, 57, CONDUCTOR, SIN DATOS, SUBURBANA , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, MARTES, FEMENINO, 9, SAN JOSE, LIBERTAD, AUTO, 1, 534200, 6166585 
22/2/2022,, 9, PASAJERO, SIN DATOS, SUBURBANA , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, MARTES, MASCULINO, 9, SAN JOSE, LIBERTAD, AUTO, 1, 534200, 6166585 
16/1/2022,, 39, CONDUCTOR, AVENIDA WILSON FERREIRA ALDUNATE, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, DOMINGO, MASCULINO, 2, MALDONADO, MALDONADO, AUTO, 1, 685520, 6137940 
16/1/2022,, 18, PASAJERO, SIN DATOS, RURAL     , HERIDO LEVE, CAÍDA, SIN DATOS, NO USA CASCO, DOMINGO, MASCULINO, 4, ROCHA, SIN DATOS, MOTO, 1, 821905, 6247770 
16/1/2022,, 18, CONDUCTOR, SIN DATOS, RURAL     , HERIDO LEVE, CAÍDA, SIN DATOS, NO USA CASCO, DOMINGO, MASCULINO, 4, ROCHA, SIN DATOS, MOTO, 1, 821905, 6247770 
16/1/2022,, 42, PASAJERO, RUTA 8 KM 180.900, SIN DATOS, FALLECIDO EN CENTRO DE ASISTENCIA, DESPISTE, SIN DATOS, SIN DATOS, DOMINGO, FEMENINO, 5, LAVALLEJA, SIN DATOS, AUTO, 1, 704415, 6228710 
16/1/2022,, 72, CONDUCTOR, SIN DATOS, RURAL     , HERIDO GRAVE, DESPISTE, SIN DATOS, SIN DATOS, DOMINGO, MASCULINO, 5, LAVALLEJA, SIN DATOS, AUTO, 1, 704415, 6228710 
16/1/2022,, 25, CONDUCTOR, SIN DATOS, RURAL     , ILESO, DESPISTE, SIN DATOS, SIN DATOS, DOMINGO, MASCULINO, 3, CANELONES, SIN DATOS, AUTO, 1, 604650, 6174900 
16/1/2022,, SIN DATOS, PASAJERO, Ruta 3 km 625.500 y Horacio Quiroga, SIN DATOS, FALLECIDO EN EL LUGAR, DESPISTE, SIN DATOS, SIN DATOS, DOMINGO, MASCULINO, 5, ARTIGAS, BELLA UNION, AUTO, 1, 443215, 6653090 
22/2/2022,, 29, CONDUCTOR, SIN DATOS, SUBURBANA , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, MARTES, MASCULINO, 9, SAN JOSE, LIBERTAD, CAMION, 1, 534200, 6166585 
22/2/2022,, 49, CONDUCTOR, LARRAVIDE, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, NO USA CASCO, MARTES, FEMENINO, 13, MONTEVIDEO, MONTEVIDEO, MOTO, 1, 578815, 6140470 
22/2/2022,, 30, CONDUCTOR, LARRAVIDE, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, MARTES, MASCULINO, 13, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 578815, 6140470 
22/2/2022,, 18, CONDUCTOR, AVENIDA AGRACIADA, URBANA    , HERIDO LEVE, CAÍDA, SIN DATOS, NO USA CASCO, MARTES, MASCULINO, 14, MONTEVIDEO, MONTEVIDEO, BICICLETA, 1, 572035, 6141945 
16/1/2022,, 39, CONDUCTOR, SIN DATOS, RURAL     , ILESO, DESPISTE, SIN DATOS, SIN DATOS, DOMINGO, MASCULINO, 6, MALDONADO, SIN DATOS, AUTO, 1, 712325, 6151650 
16/1/2022,, 18, CONDUCTOR, PRESIDENTE GIRO Y GENERAL RONDEAU, URBANA    , HERIDO GRAVE, DESPISTE, SIN DATOS, USA CASCO, DOMINGO, MASCULINO, 6, RIVERA, RIVERA, MOTO, 1, 637085, 6582335 
16/1/2022,, 39, CONDUCTOR, RINCON, URBANA    , ILESO, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN DATOS, SIN DATOS, DOMINGO, FEMENINO, 6, RIO NEGRO, FRAY BENTOS, AUTO, 1, 378695, 6333840 
16/1/2022,, 29, PASAJERO, RUTA 10 KM 176.500, URBANA    , HERIDO LEVE, DESPISTE, SIN DATOS, SIN DATOS, DOMINGO, FEMENINO, 6, MALDONADO, SANTA MONICA, AUTO, 1, 712370, 6141980 
16/1/2022,, 31, CONDUCTOR, RUTA 10 KM 176.500, URBANA    , ILESO, DESPISTE, SIN DATOS, SIN DATOS, DOMINGO, MASCULINO, 6, MALDONADO, SANTA MONICA, AUTO, 1, 712370, 6141980 
16/1/2022,, 58, CONDUCTOR, AVENIDA ITALIA, URBANA    , HERIDO LEVE, CAÍDA, SIN DATOS, USA CASCO, DOMINGO, MASCULINO, 7, MONTEVIDEO, MONTEVIDEO, MOTO, 1, 577885, 6138970 
22/2/2022,, 49, CONDUCTOR, JACINTO TRAPANI, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, MARTES, MASCULINO, 14, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 576595, 6145525 
22/2/2022,, 28, CONDUCTOR, CELEDONIO ROJAS, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, MARTES, FEMENINO, 16, TREINTA Y TRES, TREINTA Y TRES, AUTO, 1, 743850, 6320710 
22/2/2022,, 43, CONDUCTOR, CELEDONIO ROJAS, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, MARTES, FEMENINO, 16, TREINTA Y TRES, TREINTA Y TRES, AUTO, 1, 743850, 6320710 
16/1/2022,, 44, CONDUCTOR, VIA_PUBLICA, RURAL     , ILESO, DESPISTE, SIN DATOS, SIN DATOS, DOMINGO, MASCULINO, 9, FLORIDA, FLORIDA, AUTO, 1, 572490, 6226365 
16/1/2022,, 42, CONDUCTOR, SIN DATOS, SUBURBANA , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, DOMINGO, MASCULINO, 10, COLONIA, SIN DATOS, CAMION, 1, 470215, 6200935 
16/1/2022,, 62, CONDUCTOR, SIN DATOS, SUBURBANA , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, DOMINGO, MASCULINO, 10, COLONIA, SIN DATOS, MOTO, 1, 470215, 6200935 
16/1/2022,, 56, PASAJERO, RAMBLA REPUBLICA DEL PERU, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, DOMINGO, FEMENINO, 10, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 578190, 6136570 
16/1/2022,, 25, CONDUCTOR, RAMBLA REPUBLICA DEL PERU, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, DOMINGO, MASCULINO, 10, MONTEVIDEO, MONTEVIDEO, MOTO, 1, 578190, 6136570 
16/1/2022,, 37, PASAJERO, SIN DATOS, RURAL     , ILESO, DESPISTE, SIN DATOS, SIN DATOS, DOMINGO, FEMENINO, 9, FLORIDA, SIN DATOS, AUTO, 1, 554070, 6292435 
22/2/2022,, 41, CONDUCTOR, CAMINO PUERTO DE ROSARIO, RURAL     , ILESO, DESPISTE, SIN DATOS, SIN DATOS, MARTES, MASCULINO, 17, COLONIA, SIN DATOS, AUTO, 1, 469450, 6199425 
22/2/2022,, 26, CONDUCTOR, AVENIDA BOLIVIA, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, MARTES, MASCULINO, 17, MONTEVIDEO, MONTEVIDEO, MOTO, 1, 583740, 6139560 
16/1/2022,, 42, PASAJERO, CARPINTERO. ENTRE 10 Y GOLONDRINA, URBANA    , ILESO, DESPISTE, SIN DATOS, SIN DATOS, DOMINGO, MASCULINO, 11, ROCHA, SIN DATOS, OMNIBUS, 1, 762900, 6168455 
22/2/2022,, 58, CONDUCTOR, AVENIDA BOLIVIA, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, MARTES, MASCULINO, 17, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 583740, 6139560 
16/1/2022,, 50, CONDUCTOR, CARPINTERO. ENTRE 10 Y GOLONDRINA, URBANA    , ILESO, DESPISTE, SIN DATOS, SIN DATOS, DOMINGO, MASCULINO, 11, ROCHA, SIN DATOS, OMNIBUS, 1, 762900, 6168455 
22/2/2022,, SIN DATOS, CONDUCTOR, CAMINO MALDONADO, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, MARTES, MASCULINO, 16, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 579870, 6143510 
16/1/2022,, 40, CONDUCTOR, AVENIDA DE LAS LEYES, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, DOMINGO, MASCULINO, 14, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 574325, 6138560 
16/1/2022,, 45, CONDUCTOR, AVENIDA DE LAS LEYES, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, NO USA CASCO, DOMINGO, MASCULINO, 14, MONTEVIDEO, MONTEVIDEO, BICICLETA, 1, 574325, 6138560 
16/1/2022,, 37, PEATÓN, JOSE BATLLE Y ORDOÑEZ, URBANA    , HERIDO LEVE, ATROPELLO DE PEATÓN, SIN DATOS, SIN DATOS, DOMINGO, FEMENINO, 9, FLORIDA, FLORIDA, SIN DATOS, 1, 572360, 6226375 
16/1/2022,, 50, CONDUCTOR, JOSE BATLLE Y ORDOÑEZ, URBANA    , ILESO, ATROPELLO DE PEATÓN, SIN DATOS, SIN DATOS, DOMINGO, MASCULINO, 9, FLORIDA, FLORIDA, AUTO, 1, 572360, 6226375 
22/2/2022,, 46, CONDUCTOR, SIN DATOS, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, MARTES, FEMENINO, 17, FLORIDA, FRAY MARCOS, AUTO, 1, 615810, 6215210 
15/1/2022,, 23, CONDUCTOR, CORONEL M. BARRETO, URBANA    , HERIDO LEVE, CAÍDA, SIN DATOS, USA CASCO, SÁBADO, FEMENINO, 15, TREINTA Y TRES, VERGARA, MOTO, 1, 787000, 6350965 
16/1/2022,, 45, CONDUCTOR, DOCTOR ALBERTO MOROY, SUBURBANA , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, DOMINGO, FEMENINO, 14, TACUAREMBO, TACUAREMBO, MOTO, 1, 596035, 6488500 
16/1/2022,, 20, CONDUCTOR, DOCTOR ALBERTO MOROY, SUBURBANA , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, NO USA CASCO, DOMINGO, MASCULINO, 14, TACUAREMBO, TACUAREMBO, MOTO, 1, 596035, 6488500 
16/1/2022,, 54, PASAJERO, SIN DATOS, SUBURBANA , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, DOMINGO, FEMENINO, 14, CANELONES, SIN DATOS, AUTO, 1, 608715, 6151855 
16/1/2022,, 40, CONDUCTOR, SIN DATOS, SUBURBANA , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, DOMINGO, MASCULINO, 14, CANELONES, SIN DATOS, AUTO, 1, 608715, 6151855 
22/2/2022,, 20, CONDUCTOR, SIN DATOS, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, NO USA CASCO, MARTES, MASCULINO, 17, FLORIDA, FRAY MARCOS, MOTO, 1, 615810, 6215210 
22/2/2022,, 18, PASAJERO, SIN DATOS, SUBURBANA , HERIDO LEVE, CAÍDA, SIN DATOS, USA CASCO, MARTES, MASCULINO, 19, PAYSANDU, CHACRAS DE PAYSANDU, MOTO, 1, 402430, 6416860 
22/2/2022,, 43, CONDUCTOR, SIN DATOS, SUBURBANA , HERIDO GRAVE, CAÍDA, SIN DATOS, USA CASCO, MARTES, MASCULINO, 19, PAYSANDU, CHACRAS DE PAYSANDU, MOTO, 1, 402430, 6416860 
22/2/2022,, 45, CONDUCTOR, AVENIDA INGENIERO LUIS GIANNATTASIO, URBANA    , ILESO, ATROPELLO DE PEATÓN, SIN DATOS, SIN DATOS, MARTES, MASCULINO, 18, CANELONES, SOLYMAR, AUTO, 1, 594910, 6145990 
22/2/2022,, 29, PASAJERO, LORENZO BATLLE PACHECO, URBANA    , HERIDO LEVE, CAÍDA, SIN DATOS, USA CASCO, MARTES, FEMENINO, 19, MALDONADO, SAN RAFAEL - EL PLACER, MOTO, 1, 691730, 6132390 
22/2/2022,, 23, CONDUCTOR, LORENZO BATLLE PACHECO, URBANA    , ILESO, CAÍDA, SIN DATOS, USA CASCO, MARTES, MASCULINO, 19, MALDONADO, SAN RAFAEL - EL PLACER, MOTO, 1, 691730, 6132390 
22/2/2022,, 41, CONDUCTOR, AVENIDA LUIS BATLLE BERRES, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, MARTES, MASCULINO, 19, MONTEVIDEO, MONTEVIDEO, OMNIBUS, 1, 571285, 6141945 
16/1/2022,, 61, PASAJERO, SIN DATOS, RURAL     , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, DOMINGO, FEMENINO, 18, COLONIA, SIN DATOS, AUTO, 1, 411075, 6223820 
16/1/2022,, SIN DATOS, CONDUCTOR, SIN DATOS, RURAL     , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, DOMINGO, MASCULINO, 18, COLONIA, SIN DATOS, SIN DATOS, 1, 411075, 6223820 
16/1/2022,, 61, CONDUCTOR, SIN DATOS, RURAL     , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, DOMINGO, MASCULINO, 18, COLONIA, SIN DATOS, AUTO, 1, 411075, 6223820 
16/1/2022,, 65, CONDUCTOR, AVENIDA DOCTOR LUIS ALBERTO DE HERRERA, URBANA    , HERIDO GRAVE, CAÍDA, SIN DATOS, NO USA CASCO, DOMINGO, FEMENINO, 18, MALDONADO, CERRO PELADO, BICICLETA, 1, 685240, 6137820 
16/1/2022,, 63, CONDUCTOR, CLAUDIO WILLIMAN, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, DOMINGO, FEMENINO, 19, MALDONADO, PINARES - LAS DELICIAS, AUTO, 1, 686675, 6132560 
16/1/2022,, 19, CONDUCTOR, CLAUDIO WILLIMAN, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, DOMINGO, MASCULINO, 19, MALDONADO, PINARES - LAS DELICIAS, AUTO, 1, 686675, 6132560 
22/2/2022,, 31, PASAJERO, AVENIDA GENERAL FLORES, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, MARTES, FEMENINO, 18, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 577355, 6143885 
22/2/2022,, 74, PASAJERO, AVENIDA GENERAL FLORES, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, MARTES, FEMENINO, 18, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 577355, 6143885 
22/2/2022,, 20, CONDUCTOR, AVENIDA GENERAL FLORES, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, MARTES, MASCULINO, 18, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 577355, 6143885 
16/1/2022,, 17, CONDUCTOR, COSTANERA SUR TOMAS BERRETA, URBANA    , HERIDO GRAVE, CAÍDA, SIN DATOS, USA CASCO, DOMINGO, MASCULINO, 21, SALTO, SALTO, MOTO, 1, 406335, 6525980 
16/1/2022,, 59, CONDUCTOR, SIN DATOS, SUBURBANA , HERIDO LEVE, DESPISTE, SIN DATOS, SIN DATOS, DOMINGO, MASCULINO, 21, CANELONES, LA FLORESTA, AUTO, 1, 621430, 6153895 
16/1/2022,, 65, CONDUCTOR, INTENDENTE HECTOR LEIS, URBANA    , HERIDO LEVE, CAÍDA, SIN DATOS, NO USA CASCO, DOMINGO, MASCULINO, 21, LAVALLEJA, JOSE BATLLE Y ORDOÑEZ, MOTO, 1, 672610, 6295370 
16/1/2022,, 52, PEATÓN, VIA_PUBLICA, SUBURBANA , HERIDO LEVE, ATROPELLO DE PEATÓN, SIN DATOS, SIN DATOS, DOMINGO, MASCULINO, 20, MALDONADO, MALDONADO, SIN DATOS, 1, 686505, 6135120 
16/1/2022,, 61, CONDUCTOR, VIA_PUBLICA, SUBURBANA , ILESO, ATROPELLO DE PEATÓN, SIN DATOS, SIN DATOS, DOMINGO, MASCULINO, 20, MALDONADO, MALDONADO, OMNIBUS, 1, 686505, 6135120 
16/1/2022,, SIN DATOS, CONDUCTOR, ANTONIO LUSSICH, RURAL     , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, DOMINGO, MASCULINO, 21, MALDONADO, SIN DATOS, CAMION, 1, 679145, 6137840 
22/2/2022,, 42, CONDUCTOR, BOULEVARD GENERAL ARTIGAS, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, MARTES, MASCULINO, 18, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 574005, 6140930 
22/2/2022,, 25, CONDUCTOR, GENERAL JUAN ANTONIO LAVALLEJA, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, MARTES, FEMENINO, 18, SORIANO, MERCEDES, MOTO, 1, 405015, 6319595 
16/1/2022,, 21, CONDUCTOR, AVENIDA JUAN MARIA PEREZ Y FUENTES, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, DOMINGO, MASCULINO, 22, CANELONES, EL PINAR, MOTO, 1, 601660, 6148860 
16/1/2022,, 65, CONDUCTOR, AVENIDA JUAN MARIA PEREZ Y FUENTES, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, DOMINGO, MASCULINO, 22, CANELONES, EL PINAR, AUTO, 1, 601660, 6148860 
16/1/2022,, 18, PASAJERO, CARMELO VIÑOLI, SUBURBANA , HERIDO LEVE, DESPISTE, SIN DATOS, SIN DATOS, DOMINGO, FEMENINO, 23, DURAZNO, CARMEN, AUTO, 1, 592540, 6321875 
16/1/2022,, 25, PASAJERO, CARMELO VIÑOLI, SUBURBANA , ILESO, DESPISTE, SIN DATOS, SIN DATOS, DOMINGO, MASCULINO, 23, DURAZNO, CARMEN, AUTO, 1, 592540, 6321875 
16/1/2022,, 36, CONDUCTOR, CARMELO VIÑOLI, SUBURBANA , ILESO, DESPISTE, SIN DATOS, SIN DATOS, DOMINGO, MASCULINO, 23, DURAZNO, CARMEN, AUTO, 1, 592540, 6321875 
17/1/2022,, SIN DATOS, PEATÓN, VIA_PUBLICA, URBANA    , HERIDO LEVE, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN DATOS, SIN DATOS, LUNES, MASCULINO, 1, SALTO, CONSTITUCION, SIN DATOS, 1, 419065, 6562660 
22/2/2022,, 20, CONDUCTOR, GENERAL JUAN ANTONIO LAVALLEJA, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, MARTES, MASCULINO, 18, SORIANO, MERCEDES, MOTO, 1, 405015, 6319595 
22/2/2022,, 43, CONDUCTOR, ASENCIO, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, MARTES, MASCULINO, 18, RIO NEGRO, YOUNG, MOTO, 1, 439840, 6380380 
22/2/2022,, 28, CONDUCTOR, BOULEVARD APARICIO SARAVIA, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, MARTES, MASCULINO, 20, MONTEVIDEO, MONTEVIDEO, MOTO, 1, 575675, 6144845 
22/2/2022,, 64, CONDUCTOR, BOULEVARD APARICIO SARAVIA, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, MARTES, MASCULINO, 20, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 575675, 6144845 
22/2/2022,, 48, CONDUCTOR, AVENIDA DON PEDRO DE MENDOZA, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, NO USA CASCO, MARTES, MASCULINO, 20, MONTEVIDEO, MONTEVIDEO, MOTO, 1, 577345, 6145325 
17/1/2022,, 11, PASAJERO, DOCTOR MARTIN BERINDUAGUE, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, LUNES, MASCULINO, 0, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 570240, 6141215 
17/1/2022,, 26, CONDUCTOR, DOCTOR MARTIN BERINDUAGUE, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, LUNES, MASCULINO, 0, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 570240, 6141215 
17/1/2022,, 37, CONDUCTOR, DOCTOR MARTIN BERINDUAGUE, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, LUNES, MASCULINO, 0, MONTEVIDEO, MONTEVIDEO, AUTO, 1, 570240, 6141215 
16/1/2022,, 25, CONDUCTOR, CESAR MAYO GUTIERREZ, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, DOMINGO, MASCULINO, 23, CANELONES, ATLANTIDA, AUTO, 1, 612980, 6153370 
16/1/2022,, 28, CONDUCTOR, CESAR MAYO GUTIERREZ, URBANA    , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, NO USA CASCO, DOMINGO, MASCULINO, 23, CANELONES, ATLANTIDA, MOTO, 1, 612980, 6153370 
22/2/2022,, 56, CONDUCTOR, AVENIDA DON PEDRO DE MENDOZA, URBANA    , ILESO, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, MARTES, MASCULINO, 20, MONTEVIDEO, MONTEVIDEO, CAMION, 1, 577345, 6145325 
22/2/2022,, 18, CONDUCTOR, SIN NOMBRE, SUBURBANA , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, NO USA CASCO, MARTES, MASCULINO, 19, CANELONES, FRACC. SOBRE RUTA 74, MOTO, 1, 586855, 6158295 
22/2/2022,, 31, CONDUCTOR, SIN NOMBRE, SUBURBANA , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, USA CASCO, MARTES, MASCULINO, 19, CANELONES, FRACC. SOBRE RUTA 74, MOTO, 1, 586855, 6158295 
22/2/2022,, 35, PASAJERO, CAMINO REPETTO, SUBURBANA , HERIDO LEVE, CAÍDA, NO USA CINTURÓN, SIN DATOS, MARTES, MASCULINO, 23, MONTEVIDEO, MONTEVIDEO, OMNIBUS, 1, 583470, 6148660 
16/1/2022,, 63, CONDUCTOR, TISCORNIA, SUBURBANA , HERIDO LEVE, COLISIÓN ENTRE VEHÍCULOS, SIN DATOS, SIN DATOS, DOMINGO, MASCULINO, 22, CANELONES, SIN DATOS, AUTO, 1, 570170, 6152895 
